id,code,date,customer,qty_input,qty_output,output_per_hour,lot_number,screw_config,machine_no,feed_rate,rpm,screen,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,resin_used,remarks
4199,CA5402E,4-Oct-23,SMYPC,,1000,33.94,5691AJ-5710AJ,STD,3,3.9,10,40,130,130,110,110,110,115,115,,,,,,,,LDPE(HMI)
4200,WA15190E,5-Oct-23,NMH,,4917.46,77.34,5904AJ-5953AJ,STD,5,12,400,60/60,200,200,180,180,180,180,180,180,180,180,180,,,,(52-62 PPG) / PP
4201,WA3827E,5-Oct-23,IN-HOUSE,,197,63.89,5792AJ-5795AJ,STD,5,65,420,40/40,200,200,200,180,180,180,180,180,180,200,200,,,,VACUUM ON/HDPE(HMI)
4202,GA12411E,5-Oct-23,GENSTAR(corr),,276.37,69.06,5893AJ-5903AJ,STD,8,10,350,40/40,200,200,180,180,180,180,180,180,180,180,200,180,,,PP
4203,YA16164E,5-Oct-23,EVEREST,,992.95,65.25,5670AJ-5690AJ,STD,8,90,380,40/40,170,170,170,170,160,160,160,160,160,160,160,160,,,LDPE HMI
4204,KA8595E,5-Oct-23,INCON,,11.43,2.02,5959AJ,STD,6,15,245,-,170,180,180,180,180,,,,,,,,,,PP
4205,BA12068E,6-Oct-23,EVEREST,,100,60,5779AJ-5780AJ,STD,3,6.7,25,40/40,150,150,100,100,130,150,150,,,,,,,,LDPE(HMI)
4206,BA12068E,6-Oct-23,EVEREST,,149.56,56.09,5781AJ-5784AJ,STD,3,6.7,25,40/40,150,150,100,100,130,150,150,,,,,,,,LDPE(HMI)
4207,BA9910E,6-Oct-23,Everest,,196,56,5992AJ-5995AJ,STD,3,6.3,40,40/40,200,180,160,150,140,150,150,,,,,,,,LDPE HMI
4208,BA9910E,6-Oct-23,Everest(corr),,24,80,5996AJ,STD,3,6.3,40,40/40,200,180,160,150,140,150,150,,,,,,,,LDPE HMI
4209,BA16130E,6-Oct-23,PHIL-TOP,,252.9,72.26,5823AJ-5828AJ,STD,3,30,40,40/40,150,150,100,100,130,150,150,,,,,,,,LDPE HMI
4210,TA13713E,6-Oct-23,INCON,,74.21,49.47,5955AJ-5957AJ,STD,3,30,40,40/40,180,200,180,180,180,180,180,,,,,,,,PP
4211,TA13713E,6-Oct-23,INCON,,8.87,35.48,5954AJ,STD,3,30,40,40/40,180,200,180,180,180,180,180,,,,,,,,PP
4212,TA16124E,5-Oct-23,PHIL-TOP,,252,68.73,5829AJ-5834AJ,STD,3,30,40,40/40,150,150,150,150,150,130,130,,,,,,,,LDPE HMI
4213,IA8813E,6-Oct-23,Evergood,,257.42,85.81,5796AJ-5801AJ,STD,8,15,350,40/40,180,180,170,170,170,170,160,160,160,160,180,180,,,LDPE(HMI)
4214,KA16132E,6-Oct-23,PHIL-TOP,,254.8,76.44,5811AJ-5816AJ,STD,8,8,350,40/40,170,170,170,170,160,160,160,160,160,160,160,160,,,LDPE(HMI)
4215,DA15568E,6-Oct-23,PHIL-TOP,,756.1,75.86,5837AJ-5852AJ,STD,8,90,380,40/40,170,170,170,170,160,160,160,160,160,160,150,150,,,LDPE(HMI)
