id, Code ,Date, Customer , Qty Input (Kg) , Qty Output (Kg) , Output/Hr , Lot #'s ,Screw Config., MC # , Feed Rate , RPM ,Screen,Z13,Z12, Z11 , Z10 , Z9 , Z8 , Z7 , Z6 , Z5 , Z4 , Z3 , Z2 , Z1 , Resin used , REMARKS 
1121,YA8107E,12-Oct-21,GILVAN,, 52.35 , 58.17 ,8697AG,STD,5,200,380,40/40,,,150,150,160,160,160,170,170,170,170,170,170,,
1122,OA7922E,23-Oct-21,GILVAN,, 53.15 , 60.17 ,8696AG,STD,5,200,380,40/40,,,160,160,160,180,180,180,180,180,180,180,180,,
1123,MA11346E,23-Oct-21,GILVAN,, 75.66 , 47.29 ,8706AG-8708AG,STD,5,200,380,40/40,,,150,150,160,160,160,170,170,170,170,170,170,,
1124,SA14369E,22-Oct-21,RBV(corr),, 178.59 , 48.93 ,8713AG-8716AG,STD,5,20,380,40/40,,,150,150,160,160,160,170,170,170,170,170,170,,
1125,VA4086E,23-Oct-21,IN-HOUSE,," 1,183.17 ", 47.77 ,8719AG-8742AG,STD,3,20,34,40/40,,,,,,,130,140,140,140,160,160,160,,VACUUM ON
1126,VA14336E,23-Oct-21,AG CANPRINT,, 117.55 , 23.91 ,8698AG-8700AG,STD,3,30,40,40/40,,,,,,,180,180,180,180,180,200,180,,
1127,WA3827E,23-Oct-21,EASTERN,," 1,030.23 ", 65.69 ,8650AG-8660AG,STD,8,20,280,40/40,,,180,180,180,180,180,200,200,200,200,200,200,,
1128,RA7886E,22-Oct-21,EASTERN,, 495.66 , 69.98 ,8686AG-8695AG,STD,3,50,40,40/40,,,,,,,130,130,150,150,150,150,150,,VACUUM ON
1129,YA5124E,23-Oct-21,EVEREST,, 878.13 , 76.14 ,8743AG-8760AG,STD,5,160,400,40/40,,,140,140,140,140,160,160,160,160,170,180,180,,
1130,BA4038E,26-Oct-21,EVEREST(trial),, 24.23 , 69.23 ,8661AG,STD,3,30,40,40/40,,,,,,,130,130,150,150,150,150,150,,
1131,WA2123E,25-Oct-21, KPC,, 988.00 , 107.20 ,8599AG-8605AG,STD,8,70,400,60/60,180,180,180,180,180,180,180,180,180,180,180,200,180,,
1132,BA4038E,26-Oct-21,Everest(corr),, 201.95 , 73.88 ,8662AG-8665AG,STD,3,30,40,40/40,,,,,,,130,130,150,150,150,150,150,,
1133,GA14252E,26-Oct-21,Everest(corr),, 181.35 , 64.01 ,8790AG-8793AG,STD,3,30,40,40/40,,,,,,,130,130,150,150,150,150,150,,
1134,GA14252E,26-Oct-21,EVEREST,, 9.60 , 38.40 ,8794AG,STD,3,30,40,40/40,,,,,,,130,130,150,150,150,150,150,,
1135,OA5637E,26-Oct-21,NPPET,, 56.77 , 47.31 ,8796AG-8797AG,STD,3,30,40,40/40,,,,,,,180,180,180,180,180,200,180,,
1136,KA4361E,27-Oct-21,INCON,, 55.19 , 55.19 ,8872AG-8873AG,STD,3,30,40,40/40,,,,,,,180,180,180,180,180,200,180,,
1137,KA4595E,25-Oct-21,EVERGOOD,, 100.00 , 83.33 ,8761AG-8762AG,STD,5,200,380,40/40,,,150,150,160,160,160,170,170,170,170,170,170,,
1138,KA4595E,25-Oct-21,EVERGOOD,, 47.66 , 95.32 ,8763AG,STD,5,200,380,40/40,,,150,150,160,160,160,170,170,170,170,170,170,,
1139,KA4595E,26-Oct-21,EVEREST,, 107.62 , 80.72 ,8874AG-8876AG,STD,3,12,28,40/40,,,,,,,110,110,110,120,120,130,130,,VACUUM ON
